# NAME: Simplex random graph using rudy library in python. Weights computed via the beta distribution.
# COMMENT: Graph parameters: dim=8; seed=-1; sum=1 Weight distribution parameters: alpha=2.0; beta=2.0; seed=1729.
# TYPE: Random Graphs
9 36
1 9 0.352083164257
1 8 0.252096748885
1 7 0.648341652392
1 6 0.635750304273
1 5 0.543631767895
1 4 0.519940496444
1 3 0.487615756293
1 2 0.624000984843
2 9 0.495466577585
2 8 0.839659267477
2 7 0.388840689367
2 6 0.304222681992
2 5 0.653370245725
2 4 0.633490818872
2 3 0.426955135185
3 9 0.824329415306
3 8 0.424256563959
3 7 0.143039429807
3 6 0.762090342035
3 5 0.434998819886
3 4 0.583433951861
4 9 0.342980975681
4 8 0.627411944389
4 7 0.399477191799
4 6 0.789625007949
4 5 0.558895874191
5 9 0.469736001811
5 8 0.891766440447
5 7 0.737166150436
5 6 0.580321136351
6 9 0.620537936412
6 8 0.503336893797
6 7 0.681250908547
7 9 0.425485935473
7 8 0.6898577962
8 9 0.333091548573
