# NAME: Simplex random graph using rudy library in python. Weights computed via the beta distribution.
# COMMENT: Graph parameters: dim=10; seed=-1; sum=1 Weight distribution parameters: alpha=10.0; beta=1.0; seed=1729.
# TYPE: Random Graphs
11 55
1 11 0.957898754033
1 10 0.874965521771
1 9 0.962580390465
1 8 0.959358848648
1 7 0.956033160543
1 6 0.755924520189
1 5 0.996250520132
1 4 0.996613311115
1 3 0.932128169741
1 2 0.881240310113
2 11 0.888253354431
2 10 0.965455305157
2 9 0.990824268467
2 8 0.770431118874
2 7 0.769582357256
2 6 0.942315370747
2 5 0.939367775394
2 4 0.983666111388
2 3 0.943279990254
3 11 0.900451454825
3 10 0.986299821969
3 9 0.760760409327
3 8 0.823326924847
3 7 0.871955338345
3 6 0.939304431447
3 5 0.948826983578
3 4 0.824332177875
4 11 0.909301018023
4 10 0.983047844683
4 9 0.970701129602
4 8 0.990270095113
4 7 0.988688985243
4 6 0.805338365957
4 5 0.995853322731
5 11 0.95561998437
5 10 0.956889982286
5 9 0.949622081824
5 8 0.987041592665
5 7 0.985430549247
5 6 0.978892908479
6 11 0.961223905174
6 10 0.772550319548
6 9 0.909269893485
6 8 0.921756958639
6 7 0.985569447352
7 11 0.961371867618
7 10 0.938687295437
7 9 0.925956194247
7 8 0.991754790109
8 11 0.980168849127
8 10 0.959069941206
8 9 0.973101523645
9 11 0.94872465088
9 10 0.937881806395
10 11 0.991790296164
